hfpxzc href,name,MW4etd,UY7F9,category,W4Efsd 2,Address,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,Phone,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd 2,R8c4Qb 2,doJOZc,ah5Ghc
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"https://www.google.com/maps/place/Dr.+Sandeep+Nayak+-+Oncologist+in+Bangalore,+India/data=!4m7!3m6!1s0x3bae15c7ff8f36a1:0xc44f7f81cb402061!8m2!3d12.918964!4d77.579684!16s%2Fg%2F12m90xstx!19sChIJoTaP_8cVrjsRYSBAy4F_T8Q?authuser=0&hl=en&rclk=1","Dr. Sandeep Nayak - Oncologist in Bangalore, India",4.8,-191,Oncologist,·,"MACS Clinic, No.96/A /9/1 42nd cross","MACS Clinic, No.96/A /9/1 42nd cross",,· Closes 8:30 pm,·,094822 02240,https://www.google.com/aclk?sa=L&ai=DChsSEwjB7fq6-r2UAxV8vKYDHeLHIoAYACICCAEQBRoCdGI&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XBz3HevKcuj8UEpnV1leSJU--XdMAlJlKfpEKYUs3mqBBk2c1TDvGxoC2pcQAvD_BwE&cid=CAAS0wHkaInfGXbPFKTwepGkLlNZWFVuBX5-ONCBu5yPw45_R18crFP9ZSATGZOYJ42d68M1wfyFCBGpPThm6V7ft78wA7foYigGpsspE1HJwmnfdV0VMIeSfbBpHGPNI7IJ07JS45tcdXnU2iMqc1Qg7T9GcP5hTa7jUPr1zJTmaG061DlDy6yxAw-qL_CicYK0oq6zGGA3BpWFBYhtS2ii4hEiuIvKFU0JzHnKso_gdYm9x1qwG1vZjkc0XJAQYsbYgOBUzugc8802_pFCe83_lqG4sUNp&cce=2&category=acrcp_v1_32&sig=AOD64_0kHv3zZtKOjA_VGImtqfZ02u4uVg&adurl&q&ctype=99&nis=6,,Website,,Directions,,
"https://www.google.com/maps/place/Fortis+Hospital,+Bannerghatta+Road+-+Best+Hospital+in+Bangalore/data=!4m7!3m6!1s0x3bae15237055f411:0x7308c26631aa9e25!8m2!3d12.8948217!4d77.5986197!16s%2Fg%2F1tcwddzm!19sChIJEfRVcCMVrjsRJZ6qMWbCCHM?authuser=0&hl=en&rclk=1","Fortis Hospital, Bannerghatta Road - Best Hospital in Bangalore",4.7,"-23,135",Hospital,·,"154, 9, Bannerghatta Rd, opposite IIM",·,"154, 9, Bannerghatta Rd, opposite IIM",Open 24 hours,·,096633 67253,https://www.fortishealthcare.com/location/fortis-hospital-bg-road-bangalore?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,,Website,,Directions,,On-site services
https://www.google.com/maps/place/Fortis+Hospital+Bangalore+%7C+Cunningham+Road+-+Best+Hospital+in+Bangalore/data=!4m7!3m6!1s0x3bae166847800b0f:0x5670f48c68782ac8!8m2!3d12.9882166!4d77.5943056!16s%2Fg%2F1vr3bm6g!19sChIJDwuAR2gWrjsRyCp4aIz0cFY?authuser=0&hl=en&rclk=1,Fortis Hospital Bangalore | Cunningham Road - Best Hospital in Bangalore,4.6,"-7,257",Hospital,·,"14, Cunningham Rd, near Sigma Central Mall",·,"14, Cunningham Rd, near Sigma Central Mall",Open 24 hours,·,096868 60310,https://www.fortishealthcare.com/location/fortis-hospital-cg-road-bangalore,,Website,,Directions,,On-site services
https://www.google.com/maps/place/Manipal+Hospital+Yeshwanthpur/data=!4m7!3m6!1s0x3bae162a55555555:0x886d228d64097005!8m2!3d13.014153!4d77.5560419!16s%2Fg%2F1tfj1mfw!19sChIJVVVVVSoWrjsRBXAJZI0ibYg?authuser=0&hl=en&rclk=1,Manipal Hospital Yeshwanthpur,4.7,"-23,306",General hospital,·,"BRIGADE GATEWAY, 26/4, beside Metro",·,"BRIGADE GATEWAY, 26/4, beside Metro",Open 24 hours,·,1800 102 4647,https://www.manipalhospitals.com/yeshwanthpur/?utm_source=GMB&utm_medium=,,Website,,Directions,,On-site services
https://www.google.com/maps/place/The+Bangalore+Hospital/data=!4m7!3m6!1s0x3bae158e750221f1:0xf18e3d80c3d298aa!8m2!3d12.9377405!4d77.5804336!16s%2Fg%2F1tdxzbgd!19sChIJ8SECdY4VrjsRqpjSw4A9jvE?authuser=0&hl=en&rclk=1,The Bangalore Hospital,4.6,"-2,208",Hospital,·,"202, Rashtriya Vidyalaya Rd",·,"202, Rashtriya Vidyalaya Rd",Open 24 hours,·,083173 10513,https://bangalorehospitals.in/,,Website,,Directions,,On-site services
https://www.google.com/maps/place/Manipal+Hospitals/data=!4m7!3m6!1s0x3bae13c0c0c6206b:0x12d8d4c39197c7dd!8m2!3d12.9584571!4d77.649039!16s%2Fg%2F11h7rr7_j1!19sChIJayDGwMATrjsR3ceXkcPU2BI?authuser=0&hl=en&rclk=1,Manipal Hospitals,4.6,"-26,590",Hospital,·,"98, HAL Old Airport Rd",·,"98, HAL Old Airport Rd",Open 24 hours,·,1800 102 4647,https://www.manipalhospitals.com/oldairportroad/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Old+Airport+Road+Hospital+GMB,,Website,,Directions,,On-site services
"https://www.google.com/maps/place/Aster+CMI+Hospital+-+Best+Multispeciality+Hospital+in+Hebbal,+Bengaluru/data=!4m7!3m6!1s0x3bae1789755331d3:0x622ebc0aa55f732c!8m2!3d13.054497!4d77.5915659!16s%2Fg%2F11gdty88zr!19sChIJ0zFTdYkXrjsRLHNfpQq8LmI?authuser=0&hl=en&rclk=1","Aster CMI Hospital - Best Multispeciality Hospital in Hebbal, Bengaluru",4.7,"-50,934",Hospital,·,"43/2, NH 7, New Airport Road",·,"43/2, NH 7, New Airport Road",Open 24 hours,·,080 4342 0100,https://www.asterhospitals.in/hospitals/aster-cmi-bangalore,,Website,,Directions,,On-site services
"https://www.google.com/maps/place/Gleneagles+BGS+Hospital+-+Top+Multi+Speciality+Hospital+in+Kengeri,+Bengaluru/data=!4m7!3m6!1s0x3bae3f3a216fb62f:0x195205a95bb618cf!8m2!3d12.902994!4d77.4974865!16s%2Fg%2F1tdsh6nd!19sChIJL7ZvITo_rjsRzxi2W6kFUhk?authuser=0&hl=en&rclk=1","Gleneagles BGS Hospital - Top Multi Speciality Hospital in Kengeri, Bengaluru",4.7,"-12,253",General hospital,·,"67, Uttarahalli Main Rd",·,"67, Uttarahalli Main Rd",Open 24 hours,·,092402 65552,https://www.gleneagleshospitals.co.in/gleneagles-hospital-kengeri-bengaluru,,Website,,Directions,,On-site services
