hfpxzc href,name,MW4etd,UY7F9,category,W4Efsd 2,Address,doJOZc,Add,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,ah5Ghc,Jn12ke src
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
https://www.google.com/maps/place/The+Hair+Direction+Salon+%28+best+salon+in+delhi%29/data=!4m7!3m6!1s0x390cfdcf827ffd99:0xfdbdf71436a66aa3!8m2!3d28.6804534!4d77.2067598!16s%2Fg%2F11fhslggtx!19sChIJmf1_gs_9DDkRo2qmNhT3vf0?authuser=0&hl=en&rclk=1,The Hair Direction Salon ( best salon in delhi),4.7,"-2,377",Barber shop,·,"44ub, Chattori Lane",,"44ub, Chattori Lane",·,"44ub, Chattori Lane",Open,· Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHfBYRx6oiQan6XOdBTe1G4oN60hQT7P3MS6tPaLrpG4PVD0sEMlLgUhIUxMzD2-IY2tE6qMp5B30eR2wXWxCNWvvKpKizKEb0vv8IhNUHwDUunhzpl1fXMjn6q9CbvD3mIERzI=w122-h92-k-no,On-site services,
https://www.google.com/maps/place/Delhi+Hair+Salon/data=!4m7!3m6!1s0x3be04fb5a8e48c57:0x28523c5eb16943c7!8m2!3d21.1762103!4d72.8587545!16s%2Fg%2F1q5bnhv89!19sChIJV4zkqLVP4DsRx0NpsV48Uig?authuser=0&hl=en&rclk=1,Delhi Hair Salon,3.9,-18,Beauty Parlour,·,101,,101,101,,Open,· Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF1zQjZRobR6kJHNc6fgkGJ0KuG6dD6f0T6iNJwFXDEnJ2nr6Hohzi2C63cQWmPJJoSLSozP89U1bbeGgjAC1hciFWj_HtMiHYterCGKbG4VgYFq2xzIKoDhcdvDcvmnE52LVXgsQ=w80-h142-k-no,,
https://www.google.com/maps/place/NOI+TRE+Salon+-+Khan+Market/data=!4m7!3m6!1s0x390ce3fb6f0c6181:0x77258871d7668929!8m2!3d28.6006324!4d77.2275098!16s%2Fg%2F11rk26t4zc!19sChIJgWEMb_vjDDkRKYlm13GIJXc?authuser=0&hl=en&rclk=1,NOI TRE Salon - Khan Market,4.8,-715,Hairdresser,·,"37, FF, Khan Market",,"37, FF, Khan Market","37, FF, Khan Market",,Open,· Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4ExvHRPW7QpUo-9ZKJDrl1h8jLZIyY0ugSnDcSLYNnzHBcvZWZWJJ384g8-RhXV5k3H8QxV4YOSnFg8CaGP1vrUHOT3xou0nnQcvTF0M0B7mifZgIRYJDyhnEJUuAnWZSKRLgAuhWZXbt=w80-h106-k-no,On-site services,
https://www.google.com/maps/place/NOIR/data=!4m7!3m6!1s0x390d1d7b9fca5e4f:0xd6a06e2838aef445!8m2!3d28.5844474!4d77.1908196!16s%2Fg%2F11f3mbxk86!19sChIJT17Kn3sdDTkRRfSuOChuoNY?authuser=0&hl=en&rclk=1,NOIR,4.5,-733,Beauty Parlour,·,"The Chanakya Mall, 2nd Floor, Tikendrajit Marg",,"37, FF, Khan Market","37, FF, Khan Market","The Chanakya Mall, 2nd Floor, Tikendrajit Marg",Open,· Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMeyQ0zJdr35aHugTMxyZmipJZD_w4n-C59mlCV6Ey_oxGWWZkLMDP3uK9qswMGiP_u2sdv02x94s2rln3Q6gRe5avypiqcJgEbs7QFrhucBMWnf7IKwEaep8ZUgK2vYcFbK59=w80-h106-k-no,On-site services,
https://www.google.com/maps/place/The+Glamourra+Unisex+Salon/data=!4m7!3m6!1s0x390d1da90ea90099:0x3d66a636a280188e!8m2!3d28.5594889!4d77.1951885!16s%2Fg%2F11fmmnmmrb!19sChIJmQCpDqkdDTkRjhiAojamZj0?authuser=0&hl=en&rclk=1,The Glamourra Unisex Salon,4.7,-852,Beauty Parlour,·,"Ground Floor, Small Park, 31/1 B6",,"37, FF, Khan Market","37, FF, Khan Market",,Open,· Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFJJmCf6cpMM2wtdr2I4u7Fmqse7Cm3nrZDbW_qToBxlF17w7zVffGVxZ-m1qBsyLwK9Bvep3jCaKQd-XLzLmdMg4OYbvbsFLFultP7Fs4pckghkq6YaCQ0nTkaWxQvjlCkT_PntQ=w80-h106-k-no,On-site services,
https://www.google.com/maps/place/Delhi+Hair+Salon/data=!4m7!3m6!1s0x3be7cf30fbe1733d:0x9432d9d9272e8c35!8m2!3d19.0289926!4d72.866737!16s%2Fg%2F11kb4bqc5t!19sChIJPXPh-zDP5zsRNYwuJ9nZMpQ?authuser=0&hl=en&rclk=1,Delhi Hair Salon,4,-4,Beauty Parlour,·,"Na, 6, 70B, 20, Shaikh Mistry Rd",,"37, FF, Khan Market","37, FF, Khan Market",,Open,· Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPvZRqMIydKWNq3bLs4tctLSIpc6AWOXydM2rfBH6D1RirjTyDZEe-2md1wWJUNQMmC2e4dAKKFRwcQ6ZrEcAx95hH7PI0FwHXhP6tSKWCZZSM6oSJACUmHjY5pxzxiBeHkdl50A=w202-h92-k-no,"""The place is very hygienic and affordable.""",https://ssl.gstatic.com/local/servicebusiness/default_user.png
https://www.google.com/maps/place/Dames+%26+Dudes/data=!4m7!3m6!1s0x390d1d11381a9241:0xf47c4c2c0c9cf09!8m2!3d28.5881023!4d77.1678761!16s%2Fg%2F11hpzfl6f5!19sChIJQZIaOBEdDTkRCc_JwMLERw8?authuser=0&hl=en&rclk=1,Dames & Dudes,4.7,-221,Hairdresser,·,"Shop No.39, opposite Venketeswara College, near Kay Dee properties",,"37, FF, Khan Market","37, FF, Khan Market",,Open,· Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3Hg6yHV4kEo-vkWSCDozZUJkVTIq-WsyMxRYQihoSwEUBrUJUl0RSQCP-MEfiS_j3Ns91PHQ8kf8XteeWJnSCY1odjG65ZZAPbE6iTor9qOeb2DCnAYHeszswHtxddp0vQh6y=w122-h92-k-no,On-site services,
https://www.google.com/maps/place/Big+Brother+Hair+%26+Beauty+Salon/data=!4m7!3m6!1s0x390cfd56cc3e317d:0xb3a63105c84bb81e!8m2!3d28.6407433!4d77.2106757!16s%2Fg%2F11g1ktj_39!19sChIJfTE-zFb9DDkRHrhLyAUxprM?authuser=0&hl=en&rclk=1,Big Brother Hair & Beauty Salon,4.6,-818,Beauty Parlour,·,"1628-29 1620-29, Main Bazar Rd",,"37, FF, Khan Market","37, FF, Khan Market",,Open,· Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgaBqBBtmVE-INWAyMN88xgLt9eq5HTU2Ql3fchZ7iiK4AHYKMQHIang2nuVL5wc0Nb_xfCfb0vh3h-935phnW_ej94OrP_EDZaaSnB6uxR6HWKP38aovfXBx-jCNujJObvL5Q=w80-h106-k-no,On-site services,
