name,category,Address
,,
,,
POWERFACTORY UNISEX GYM-THERGAON,Gym,"Onkar Colony, Yashoda Colony, Wakad, Pimpri-Chinchwad, Maharashtra 411033"
GYM TOWN,Gym,"Survey No 19/3, First Floor, Ladhuji Complex Dange Chowk, Opposite Bhoir Hospital Hinjewadi Road, above Ganesh Medicals"
OxyGym fitness centre,Gym,"Oxygym ans fitness centre, Dange Chowk Rd"
Sigma world fitness,Fitness center,near bharat petrol pump
Fitness legacy Gym,Gym,"4th floor, Talreja buisness hub, Datta Mandir Rd"
Crunch Fitness Club,Gym,"2nd floor, Palash Plus, C Building, opposite Euro School"
Moraya Gym - Best Gym In Thergaon Unisex Fitness Centre | Best Rated Gym In Pune | FITNESS Center In Thergaon,Gym,"Barne Estate, Birla Hospital Road, opposite to Padamji Paper Mill"
WILDFIT- An Exclusive Nutrition & Personal Training Studio,Fitness center,"Office no 501, 5th floor, Mi Commercia, Kaspate Wasti Rd, above J & K Bank"
URBAN-FIT,Fitness center,"dimond rock, Anand Park Lane, Bharat Ratna Dr. Babasaheb Ambedkar Marg"
Dynamic Fitness Club,Fitness center,"6th Floor, Rise Alta Prime Plaza, beside Vision One Mall"
"YC'S Power House - Available on cult.fit | Best gym in Hinjewadi, Pune",Gym,Near by legacy celestial vinode nagar wakad
Galaxy Fitness Club,Gym,"Shop no 8/9, JQ92+7PP Galaxy Fitness Club"
"Renaissance Fitness Park - Best Gym in Wakad | Calisthenics, CrossFit, Yoga, Zumba & Advanced Fitness Programs in Wakad",Gym,"Sr. No. 126/1, Beside Olive Orchid Society"
R. K. Health Spa,Fitness center,"opposite, Matoshree Hospital Rd"
OJAS GYM (Unisex) Thergaon,Gym,"Ojas GYM, near surya Ganesh Managal Kendra"
Wild Fitness Gym,Gym,"New BRT Road, Chatrapati Shivaji Maharaj Chowk"
"Fitness Craze - Available on Cult.fit | Best Gym in Pimpri-Chinchwad, Pune",Gym,0
Eon Fitness Empire Gym Tathawade,Fitness center,"Eon Fitness Empire ,Esha-foot Print Society, Opposite Indira National School Tathawade , Pimpri"
Recreation Califitness Club (Calisthenics Gym),Gym,"Recreation cali fitness club, opp. kannu ki chai"
Tiger fitness,Gym,"krantiveer Maharashtra, Tuljai colony lane no1, near sanchiti school"
Body Fitness Gym,Gym,"Chandramauli Garden, Hinjewadi Road"
Golds Gym Wakad,Gym,"S.No. 186, à¤¦ à¤“à¤¨à¥‡à¤¸, Kalate Business Park, Kalewadi - Wakad Rd, near Euro School"
Nitrro Redefining Fitness Gym Wakad,Gym,"Austin Plaza, Kasapte Wasti Mhatoba Chauwk, Chatrapati Chowk Rd, opposite Riddhi-Siddhi"
AV FITNESS,Fitness center,Swami vivekananda road
HighFit Fitness Club WAKAD,Gym,Mankar Chowk Rd
FORCE FITNESS,Fitness center,"C2, 2nd Floor, Prime City Centre, Opp, Datta Mandir Rd"
Zenith Calipark (Calisthenics Gym),Gym,"189, 3/2/1, Datta Mandir Rd"
"Marvex Fitness Baner | Gym in Baner, Pune",Gym,"6th Floor, 45 Street, above Atithi Veg Hotel, opposite Dmart"
